horizon,model,MAE,RMSE,points
1,Naive,3.825892857142857,7.428328178251788,672
1,Historical Average,2.5370818335104053,4.484866847546359,672
1,GRU,3.3625128563988094,5.525672797453499,672
1,Fixed ST-GNN,7.483237529017856,10.02425776036665,672
3,Naive,5.291666666666667,9.570229135934296,672
3,Historical Average,2.541122584426156,4.483603665893081,672
3,GRU,3.5400657507440476,5.842322175535456,672
3,Fixed ST-GNN,7.727072241071428,10.26625242906518,672
6,Naive,7.303571428571429,11.39052446637325,672
6,Historical Average,2.544562918893276,4.5974219796954,672
6,GRU,3.510112305059524,5.845691719691962,672
6,Fixed ST-GNN,8.065353315476191,10.643679858152401,672
